epoch	path	iteration	SRR	kernels_per_sec
1	G:\RP\timitsplit\voiced\w_uw_n_MLSH0_SX337_18582_24231.wav	45	12.717738644688941	3458.3112055231013
1	G:\RP\timitsplit\voiced\g_ix_n_ix_z_ix_m_z_MWGR0_SX166_48726_59760.wav	46	13.568662205339976	2692.767808591626
1	G:\RP\timitsplit\voiced\aw_axr_z_ix_nx_aw_axr_z_ix_v_m_ux_v_iy_MGJC0_SX345_16680_42730.wav	47	12.972680974996525	2260.2687140115163
1	G:\RP\timitsplit\voiced\d_l_ux_z_aa_r_eh_MTPF0_SI605_5080_12490.wav	48	7.868631497149776	1893.6572199730094
1	G:\RP\timitsplit\voiced\ax_v_iy_dh_ix_hv_uw_v_z_axr_MGRP0_SI1947_15000_29033.wav	49	13.386679364378223	3819.568160763914
1	G:\RP\timitsplit\voiced\y_axr_w_eh_l_MKLN0_SX68_32460_38120.wav	50	12.866178434080995	3129.328621908127
1	G:\RP\timitsplit\voiced\y_ux_nx_iy_m_eh_n_ax_MKES0_SI623_11279_21400.wav	51	9.959367619324034	1427.5269242169745
1	G:\RP\timitsplit\voiced\er_m_ax_dx_ih_v_ae_FSDJ0_SX215_31480_39101.wav	52	14.124009478938808	3023.225298517255
1	G:\RP\timitsplit\voiced\uw_el_iy_FHLM0_SI930_40288_47200.wav	53	14.56095339497206	2574.074074074074
1	G:\RP\timitsplit\voiced\d_ey_dx_ih_MTJG0_SX80_17710_21850.wav	54	14.933575411123037	3219.3236714975847
1	G:\RP\timitsplit\voiced\ix_z_ax_n_l_eh_dh_eh_m_MDMT0_SX212_23240_35480.wav	55	12.129702811310132	1282.3529411764705
1	G:\RP\timitsplit\voiced\d_aa_l_axr_z_ix_n_MGAF0_SI1912_24280_32250.wav	56	14.366544459045327	2553.5759096612296
1	G:\RP\timitsplit\voiced\ah_l_axr_MRLR0_SI566_44840_52320.wav	57	9.799123411253793	1041.711229946524
1	G:\RP\timitsplit\voiced\jh_ux_n_y_axr_FPAF0_SI2314_21470_30000.wav	58	12.440355638564792	2252.754982415006
1	G:\RP\timitsplit\voiced\ao_n_FRLL0_SX434_30600_37680.wav	59	13.776260731835055	3005.6497175141244
1	G:\RP\timitsplit\voiced\m_ao_l_w_ax_n_MKDD0_SI2197_14320_24120.wav	60	13.133482397492685	1376.3265306122448
1	G:\RP\timitsplit\voiced\l_ey_dx_axr_MDWD0_SI557_15720_23600.wav	61	12.711295435458167	1539.0862944162436
1	G:\RP\timitsplit\voiced\ih_z_ax_r_ix_l_iy_v_ih_ng_FGRW0_SI1152_43491_55643.wav	62	14.672617821916372	2995.391705069125
1	G:\RP\timitsplit\voiced\ux_aa_r_dx_ih_MAKB0_SX296_5566_11830.wav	63	13.126539462734437	3121.3282247765005
