wav_path	per
G:\RP\TIMIT16kHz\TEST\DR1\MREB0\SX385.WAV	0.03225806451612903
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SA1.WAV	0.24324324324324326
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SA2.WAV	0.09375
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SI1364.WAV	0.19230769230769232
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SI1624.WAV	0.22727272727272727
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SI734.WAV	0.22033898305084745
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SX104.WAV	0.0
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SX14.WAV	0.2571428571428571
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SX194.WAV	0.23809523809523808
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SX284.WAV	0.11904761904761904
G:\RP\TIMIT16kHz\TEST\DR1\MRJO0\SX374.WAV	0.16666666666666666
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SA1.WAV	0.2777777777777778
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SA2.WAV	0.03125
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SI1899.WAV	0.2
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SI639.WAV	0.1
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SI869.WAV	0.21666666666666667
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SX189.WAV	0.09090909090909091
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SX279.WAV	0.17391304347826086
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SX369.WAV	0.15384615384615385
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SX9.WAV	0.15789473684210525
G:\RP\TIMIT16kHz\TEST\DR1\MSJS1\SX99.WAV	0.05714285714285714
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SA1.WAV	0.11904761904761904
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SA2.WAV	0.11428571428571428
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SI1024.WAV	0.05454545454545454
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SI2222.WAV	0.06818181818181818
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SI2284.WAV	0.14285714285714285
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SX124.WAV	0.15151515151515152
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SX214.WAV	0.1111111111111111
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SX304.WAV	0.08823529411764706
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SX34.WAV	0.04
G:\RP\TIMIT16kHz\TEST\DR1\MSTK0\SX394.WAV	0.06666666666666667
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SA1.WAV	0.075
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SA2.WAV	0.0625
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SI1553.WAV	0.05263157894736842
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SI2183.WAV	0.0
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SI923.WAV	0.075
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SX113.WAV	0.05555555555555555
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SX203.WAV	0.16666666666666666
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SX23.WAV	0.09375
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SX293.WAV	0.06666666666666667
G:\RP\TIMIT16kHz\TEST\DR1\MWBT0\SX383.WAV	0.07317073170731707
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SA1.WAV	0.10256410256410256
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SA2.WAV	0.029411764705882353
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SI1105.WAV	0.1276595744680851
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SI1735.WAV	0.22727272727272727
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SI475.WAV	0.10714285714285714
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SX115.WAV	0.14634146341463414
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SX205.WAV	0.09803921568627451
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SX25.WAV	0.08695652173913043
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SX295.WAV	0.13953488372093023
G:\RP\TIMIT16kHz\TEST\DR2\FCMR0\SX385.WAV	0.0967741935483871
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SA1.WAV	0.11627906976744186
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SA2.WAV	0.05555555555555555
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SI1544.WAV	0.05128205128205128
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SI1566.WAV	0.12121212121212122
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SI2149.WAV	0.09375
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SX104.WAV	0.125
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SX14.WAV	0.07692307692307693
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SX194.WAV	0.045454545454545456
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SX284.WAV	0.10638297872340426
G:\RP\TIMIT16kHz\TEST\DR2\FDRD1\SX374.WAV	0.0
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SA1.WAV	0.09302325581395349
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SA2.WAV	0.058823529411764705
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SI1400.WAV	0.11363636363636363
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SI2030.WAV	0.19230769230769232
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SI770.WAV	0.05660377358490566
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SX140.WAV	0.1
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SX230.WAV	0.11428571428571428
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SX320.WAV	0.17391304347826086
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SX410.WAV	0.02857142857142857
G:\RP\TIMIT16kHz\TEST\DR2\FJAS0\SX50.WAV	0.13333333333333333
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SA1.WAV	0.125
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SA2.WAV	0.075
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SI1116.WAV	0.0967741935483871
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SI1587.WAV	0.15873015873015872
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SI1746.WAV	0.03125
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SX126.WAV	0.13793103448275862
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SX216.WAV	0.034482758620689655
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SX306.WAV	0.06896551724137931
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SX36.WAV	0.18
G:\RP\TIMIT16kHz\TEST\DR2\FJRE0\SX396.WAV	0.05660377358490566
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SA1.WAV	0.023809523809523808
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SA2.WAV	0.12903225806451613
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SI1265.WAV	0.20588235294117646
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SI635.WAV	0.06779661016949153
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SI992.WAV	0.14754098360655737
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SX185.WAV	0.038461538461538464
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SX275.WAV	0.09090909090909091
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SX365.WAV	0.10416666666666667
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SX5.WAV	0.0625
G:\RP\TIMIT16kHz\TEST\DR2\FJWB0\SX95.WAV	0.07692307692307693
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SA1.WAV	0.08108108108108109
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SA2.WAV	0.09090909090909091
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SI1272.WAV	0.16666666666666666
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SI2204.WAV	0.1
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SI944.WAV	0.05405405405405406
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SX134.WAV	0.1590909090909091
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SX224.WAV	0.1
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SX314.WAV	0.11627906976744186
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SX404.WAV	0.08823529411764706
G:\RP\TIMIT16kHz\TEST\DR2\FPAS0\SX44.WAV	0.10256410256410256
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SA1.WAV	0.12195121951219512
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SA2.WAV	0.09090909090909091
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SI1360.WAV	0.14285714285714285
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SI522.WAV	0.11290322580645161
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SI730.WAV	0.16666666666666666
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SX10.WAV	0.21428571428571427
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SX100.WAV	0.13157894736842105
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SX190.WAV	0.07142857142857142
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SX280.WAV	0.17647058823529413
G:\RP\TIMIT16kHz\TEST\DR2\FRAM1\SX370.WAV	0.2
