wav_path	per
G:\RP\timitsplit\unvoiced\pcl_p_MREM0_SI511_7760_10271.wav	1.0
G:\RP\timitsplit\unvoiced\sh_MRMB0_SI951_38349_57440.wav	1.0
G:\RP\timitsplit\unvoiced\s_k_MTBC0_SI1803_25880_32626.wav	0.5
G:\RP\timitsplit\unvoiced\dcl_MTPF0_SI605_51560_55120.wav	2.0
G:\RP\timitsplit\unvoiced\ax-h_MVJH0_SX116_31373_35040.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_pcl_p_MBWP0_SI1969_32112_34210.wav	1.0
G:\RP\timitsplit\unvoiced\s_MCRE0_SI1121_13320_18172.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_t_MCRE0_SX221_38308_41640.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_pcl_p_MDLM0_SX334_20177_22050.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_s_MDLR1_SX309_48600_54320.wav	0.0
G:\RP\timitsplit\unvoiced\s_kcl_k_f_MGRP0_SX57_26030_31560.wav	0.0
G:\RP\timitsplit\unvoiced\s_th_MJLB0_SX446_6263_8950.wav	1.0
G:\RP\timitsplit\unvoiced\s_MJPG0_SX111_28323_33120.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_pcl_p_MKLW0_SX131_2109_5399.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\t_s_MLNS0_SX327_55300_59120.wav	0.5
G:\RP\timitsplit\unvoiced\s_kcl_k_f_MLNS0_SX57_20690_24000.wav	0.75
G:\RP\timitsplit\unvoiced\t_MRAB0_SX54_46840_49920.wav	2.0
G:\RP\timitsplit\unvoiced\s_th_MRFK0_SX446_6516_9420.wav	0.5
G:\RP\timitsplit\unvoiced\kcl_k_MRMB0_SX141_40383_42505.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_MTCS0_SX352_2560_4910.wav	1.0
G:\RP\timitsplit\unvoiced\dcl_MMDS0_SI1973_7341_8610.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_s_t_MJHI0_SX428_36160_40600.wav	0.25
G:\RP\timitsplit\unvoiced\kcl_k_s_f_FKKH0_SX390_30920_34840.wav	0.25
G:\RP\timitsplit\unvoiced\s_MGRL0_SX57_28320_32160.wav	0.0
